"tenure","MonthlyCharges","Contract","PaymentMethod","InternetService","Churn"
68,82.85,"Two year","Bank transfer (automatic)","DSL","No"
4,19,"Month-to-month","Mailed check","No","No"
26,38.85,"Month-to-month","Credit card (automatic)","DSL","No"
29,30.6,"Month-to-month","Electronic check","DSL","Yes"
5,20.35,"Month-to-month","Credit card (automatic)","No","No"
70,95,"One year","Bank transfer (automatic)","Fiber optic","No"
24,74.4,"One year","Bank transfer (automatic)","DSL","No"
72,78.45,"Two year","Bank transfer (automatic)","DSL","No"
1,74.3,"Month-to-month","Mailed check","Fiber optic","No"
70,51.05,"One year","Bank transfer (automatic)","DSL","No"
36,19.2,"Month-to-month","Bank transfer (automatic)","No","No"
38,99.55,"Month-to-month","Electronic check","Fiber optic","Yes"
17,70,"Month-to-month","Electronic check","Fiber optic","Yes"
41,109.1,"One year","Bank transfer (automatic)","Fiber optic","No"
1,45.3,"Month-to-month","Electronic check","DSL","Yes"
2,29.85,"Month-to-month","Bank transfer (automatic)","DSL","Yes"
14,76.45,"Month-to-month","Electronic check","Fiber optic","No"
2,95.1,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
1,19.8,"Month-to-month","Mailed check","No","Yes"
13,72.8,"Month-to-month","Electronic check","DSL","No"
6,18.95,"Month-to-month","Mailed check","No","No"
4,76.65,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
5,99.15,"Month-to-month","Mailed check","Fiber optic","Yes"
15,101.75,"Month-to-month","Electronic check","Fiber optic","No"
47,75.45,"Month-to-month","Credit card (automatic)","Fiber optic","No"
8,64.1,"Month-to-month","Mailed check","DSL","No"
17,25.65,"Month-to-month","Mailed check","DSL","No"
15,75.1,"Month-to-month","Mailed check","Fiber optic","No"
26,95.85,"One year","Bank transfer (automatic)","Fiber optic","No"
23,54.4,"Month-to-month","Electronic check","DSL","No"
4,72.75,"Month-to-month","Electronic check","Fiber optic","No"
29,19.85,"One year","Mailed check","No","No"
25,19.05,"Month-to-month","Mailed check","No","No"
9,44.95,"Month-to-month","Mailed check","DSL","Yes"
18,49.55,"Month-to-month","Mailed check","DSL","Yes"
3,94.85,"Month-to-month","Electronic check","Fiber optic","No"
69,46.25,"Two year","Bank transfer (automatic)","DSL","No"
14,19.35,"One year","Mailed check","No","No"
19,69.6,"Month-to-month","Mailed check","DSL","No"
39,90.7,"Month-to-month","Electronic check","Fiber optic","No"
31,101.4,"Month-to-month","Electronic check","Fiber optic","No"
24,20.25,"One year","Mailed check","No","No"
14,48.8,"Month-to-month","Bank transfer (automatic)","DSL","No"
64,74.35,"Two year","Mailed check","DSL","No"
50,19.35,"One year","Mailed check","No","No"
52,68.75,"One year","Electronic check","DSL","No"
28,100.2,"One year","Electronic check","Fiber optic","No"
21,20.85,"Two year","Credit card (automatic)","No","No"
25,95.9,"Month-to-month","Electronic check","Fiber optic","Yes"
17,19.35,"One year","Mailed check","No","No"
58,45,"One year","Credit card (automatic)","DSL","No"
17,81.5,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
51,25.5,"Two year","Mailed check","No","No"
72,48.9,"Two year","Mailed check","DSL","No"
52,84.1,"Month-to-month","Electronic check","Fiber optic","Yes"
27,19.6,"Two year","Mailed check","No","No"
3,20,"Month-to-month","Mailed check","No","No"
64,81.3,"Two year","Mailed check","DSL","No"
45,95.2,"Two year","Credit card (automatic)","Fiber optic","No"
3,36.45,"Month-to-month","Mailed check","DSL","Yes"
71,83.3,"Two year","Credit card (automatic)","DSL","No"
1,25.05,"Month-to-month","Mailed check","DSL","Yes"
58,20.3,"Two year","Credit card (automatic)","No","No"
34,89.85,"Month-to-month","Electronic check","Fiber optic","No"
8,49.85,"Month-to-month","Electronic check","DSL","Yes"
15,19.8,"Month-to-month","Mailed check","No","No"
66,54.65,"Two year","Bank transfer (automatic)","DSL","No"
12,29.35,"Month-to-month","Credit card (automatic)","DSL","No"
58,19.15,"Two year","Bank transfer (automatic)","No","No"
3,19.1,"Two year","Mailed check","No","No"
43,55.55,"Month-to-month","Credit card (automatic)","DSL","Yes"
9,80.55,"Month-to-month","Electronic check","Fiber optic","No"
3,20.25,"One year","Mailed check","No","No"
22,69.5,"One year","Bank transfer (automatic)","DSL","Yes"
40,106,"One year","Bank transfer (automatic)","Fiber optic","No"
68,25.5,"Two year","Bank transfer (automatic)","No","No"
54,104.3,"Month-to-month","Electronic check","Fiber optic","Yes"
50,79.6,"Two year","Mailed check","DSL","No"
1,55.25,"Month-to-month","Electronic check","DSL","No"
72,88.05,"Two year","Bank transfer (automatic)","DSL","No"
40,20.4,"One year","Bank transfer (automatic)","No","No"
72,117.6,"Two year","Bank transfer (automatic)","Fiber optic","No"
6,20,"Month-to-month","Mailed check","No","No"
5,19.65,"Month-to-month","Credit card (automatic)","No","No"
48,70.55,"One year","Credit card (automatic)","DSL","No"
1,93.85,"Month-to-month","Electronic check","Fiber optic","Yes"
64,65.8,"One year","Mailed check","DSL","No"
17,20.05,"One year","Credit card (automatic)","No","No"
40,80,"Month-to-month","Electronic check","Fiber optic","No"
41,35.4,"One year","Credit card (automatic)","DSL","No"
51,79.6,"One year","Bank transfer (automatic)","Fiber optic","No"
41,80.25,"Month-to-month","Electronic check","Fiber optic","No"
1,50.45,"Month-to-month","Mailed check","DSL","Yes"
2,20.45,"Month-to-month","Mailed check","No","No"
68,79.6,"One year","Credit card (automatic)","Fiber optic","No"
24,24.7,"Two year","Mailed check","No","No"
70,77.3,"Two year","Credit card (automatic)","DSL","No"
3,29.75,"Month-to-month","Electronic check","DSL","No"
2,44.9,"Month-to-month","Bank transfer (automatic)","DSL","No"
3,29.8,"Month-to-month","Credit card (automatic)","DSL","No"
7,74.65,"Month-to-month","Electronic check","DSL","Yes"
13,71.95,"Month-to-month","Electronic check","DSL","No"
7,20.75,"Month-to-month","Mailed check","No","No"
12,56.3,"Month-to-month","Mailed check","DSL","No"
53,105.25,"One year","Electronic check","Fiber optic","No"
12,94.2,"Month-to-month","Electronic check","Fiber optic","Yes"
63,19.55,"Two year","Mailed check","No","No"
15,84.45,"Month-to-month","Mailed check","DSL","No"
36,53.65,"One year","Mailed check","DSL","No"
4,29.9,"Month-to-month","Electronic check","DSL","No"
24,19.7,"Two year","Mailed check","No","No"
61,43.7,"One year","Credit card (automatic)","DSL","No"
16,55.3,"Month-to-month","Electronic check","DSL","No"
65,19.85,"Two year","Credit card (automatic)","No","No"
26,19.65,"Two year","Credit card (automatic)","No","No"
16,49.45,"Month-to-month","Mailed check","DSL","No"
54,106.55,"One year","Bank transfer (automatic)","Fiber optic","Yes"
1,20.1,"Month-to-month","Mailed check","No","Yes"
5,20.45,"Two year","Mailed check","No","No"
19,39.7,"Month-to-month","Electronic check","DSL","No"
10,54.5,"Month-to-month","Credit card (automatic)","DSL","No"
23,83.8,"Month-to-month","Electronic check","Fiber optic","Yes"
3,55.15,"Month-to-month","Mailed check","DSL","Yes"
72,111.6,"Two year","Bank transfer (automatic)","Fiber optic","No"
10,86.65,"Month-to-month","Electronic check","Fiber optic","Yes"
10,55.55,"Month-to-month","Mailed check","DSL","No"
11,20.55,"One year","Mailed check","No","No"
37,106.75,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
17,62.1,"One year","Mailed check","DSL","No"
36,104.5,"Month-to-month","Credit card (automatic)","Fiber optic","No"
17,101.8,"Month-to-month","Electronic check","Fiber optic","No"
66,110.6,"One year","Credit card (automatic)","Fiber optic","No"
61,84.9,"One year","Bank transfer (automatic)","DSL","No"
22,93.2,"Month-to-month","Mailed check","Fiber optic","No"
1,24.4,"Month-to-month","Electronic check","DSL","No"
6,70.55,"Month-to-month","Credit card (automatic)","Fiber optic","No"
31,78.45,"Month-to-month","Electronic check","Fiber optic","Yes"
68,85,"Two year","Credit card (automatic)","DSL","No"
34,87.45,"Month-to-month","Electronic check","Fiber optic","Yes"
52,85.8,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
10,91.1,"Month-to-month","Electronic check","Fiber optic","No"
29,70.75,"Month-to-month","Electronic check","Fiber optic","Yes"
72,20.1,"Two year","Bank transfer (automatic)","No","No"
47,20.05,"One year","Mailed check","No","No"
24,74.8,"One year","Mailed check","DSL","No"
65,24.8,"One year","Credit card (automatic)","No","No"
4,100.85,"Month-to-month","Mailed check","Fiber optic","No"
12,101.35,"Month-to-month","Electronic check","Fiber optic","Yes"
1,81.7,"Month-to-month","Electronic check","Fiber optic","Yes"
33,68.25,"Month-to-month","Electronic check","Fiber optic","Yes"
34,105.1,"Month-to-month","Electronic check","Fiber optic","No"
14,20.4,"Two year","Mailed check","No","No"
4,79.15,"Month-to-month","Electronic check","Fiber optic","Yes"
13,20,"One year","Mailed check","No","No"
65,79.4,"Two year","Bank transfer (automatic)","DSL","No"
23,57.2,"One year","Credit card (automatic)","DSL","No"
55,58.6,"Two year","Electronic check","DSL","No"
49,94.8,"Two year","Electronic check","Fiber optic","No"
60,102.5,"One year","Bank transfer (automatic)","Fiber optic","No"
69,20.35,"One year","Credit card (automatic)","No","No"
40,84.9,"Month-to-month","Electronic check","Fiber optic","No"
67,69.2,"Two year","Credit card (automatic)","DSL","No"
35,95.45,"Month-to-month","Electronic check","Fiber optic","Yes"
19,100.95,"One year","Electronic check","Fiber optic","Yes"
13,20.85,"Two year","Mailed check","No","No"
41,88.5,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
4,35,"Month-to-month","Mailed check","DSL","No"
24,55.15,"Month-to-month","Electronic check","DSL","No"
5,50.95,"Month-to-month","Credit card (automatic)","DSL","No"
5,64,"Month-to-month","Electronic check","DSL","No"
1,69.1,"Month-to-month","Mailed check","Fiber optic","Yes"
72,80.2,"Two year","Bank transfer (automatic)","DSL","No"
24,49.3,"Month-to-month","Credit card (automatic)","DSL","No"
42,84.35,"Two year","Credit card (automatic)","DSL","No"
4,20.05,"Month-to-month","Mailed check","No","No"
68,117.2,"One year","Credit card (automatic)","Fiber optic","No"
33,20.1,"One year","Mailed check","No","No"
1,69.6,"Month-to-month","Electronic check","Fiber optic","Yes"
31,103.45,"One year","Electronic check","Fiber optic","Yes"
4,77.95,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
69,109.95,"Two year","Electronic check","Fiber optic","No"
38,94.75,"Month-to-month","Electronic check","Fiber optic","No"
3,80,"Month-to-month","Electronic check","Fiber optic","No"
48,79.65,"Two year","Electronic check","DSL","No"
15,25.2,"Two year","Mailed check","No","No"
25,19.9,"One year","Credit card (automatic)","No","No"
1,78.45,"Month-to-month","Electronic check","Fiber optic","Yes"
48,44.8,"Month-to-month","Electronic check","DSL","No"
1,20.3,"Month-to-month","Mailed check","No","No"
1,19.2,"Month-to-month","Electronic check","No","No"
37,80.05,"One year","Electronic check","Fiber optic","No"
66,107.35,"One year","Bank transfer (automatic)","Fiber optic","No"
26,47.85,"One year","Bank transfer (automatic)","DSL","No"
63,70.8,"One year","Credit card (automatic)","DSL","No"
10,29.5,"Month-to-month","Mailed check","DSL","Yes"
2,70.75,"Month-to-month","Electronic check","DSL","Yes"
18,59.1,"Month-to-month","Credit card (automatic)","DSL","No"
64,25.55,"Two year","Mailed check","No","No"
9,84.45,"Month-to-month","Electronic check","Fiber optic","Yes"
28,20.25,"Month-to-month","Mailed check","No","No"
1,75.55,"Month-to-month","Electronic check","Fiber optic","No"
4,85.65,"Month-to-month","Electronic check","Fiber optic","Yes"
38,70.15,"One year","Credit card (automatic)","DSL","Yes"
66,95.3,"One year","Electronic check","Fiber optic","No"
1,70.25,"Month-to-month","Electronic check","Fiber optic","No"
18,50.3,"Month-to-month","Mailed check","DSL","No"
51,97.8,"Month-to-month","Electronic check","Fiber optic","Yes"
0,19.85,"Two year","Mailed check","No","No"
1,46.3,"Month-to-month","Mailed check","DSL","Yes"
12,19.35,"Two year","Bank transfer (automatic)","No","No"
41,106.3,"Month-to-month","Electronic check","Fiber optic","Yes"
12,25,"Month-to-month","Electronic check","No","No"
55,20.3,"Two year","Mailed check","No","No"
7,75.35,"Month-to-month","Electronic check","Fiber optic","No"
12,89.4,"Month-to-month","Electronic check","Fiber optic","Yes"
68,88,"Two year","Credit card (automatic)","DSL","No"
5,83.15,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
49,43.8,"Month-to-month","Mailed check","DSL","No"
40,62.05,"One year","Credit card (automatic)","DSL","No"
16,20.1,"One year","Bank transfer (automatic)","No","No"
10,74.15,"Month-to-month","Mailed check","Fiber optic","Yes"
72,101.35,"One year","Electronic check","Fiber optic","No"
2,84.05,"Month-to-month","Electronic check","Fiber optic","No"
23,20.9,"Two year","Mailed check","No","No"
71,105.9,"One year","Electronic check","Fiber optic","No"
11,99.5,"Month-to-month","Electronic check","Fiber optic","Yes"
1,44.15,"Month-to-month","Mailed check","DSL","Yes"
16,53.9,"Month-to-month","Mailed check","DSL","Yes"
1,85.45,"Month-to-month","Mailed check","Fiber optic","Yes"
12,85.05,"Month-to-month","Credit card (automatic)","Fiber optic","No"
54,44.1,"One year","Bank transfer (automatic)","DSL","No"
68,90.2,"Two year","Credit card (automatic)","Fiber optic","No"
4,50.85,"Month-to-month","Mailed check","DSL","Yes"
1,59.2,"Month-to-month","Electronic check","DSL","Yes"
27,53.45,"Month-to-month","Mailed check","DSL","No"
21,19.95,"Month-to-month","Mailed check","No","No"
13,83.2,"Month-to-month","Electronic check","Fiber optic","Yes"
64,74.65,"Month-to-month","Credit card (automatic)","DSL","No"
1,54.9,"Month-to-month","Electronic check","DSL","Yes"
57,57.5,"Two year","Bank transfer (automatic)","DSL","No"
21,103.9,"Month-to-month","Electronic check","Fiber optic","Yes"
19,19.65,"Two year","Mailed check","No","No"
31,93.8,"One year","Electronic check","Fiber optic","No"
52,89.25,"Two year","Mailed check","DSL","No"
46,94.15,"One year","Electronic check","Fiber optic","No"
11,55.6,"Month-to-month","Electronic check","DSL","No"
53,48.7,"Month-to-month","Bank transfer (automatic)","DSL","No"
11,19.25,"Month-to-month","Mailed check","No","Yes"
57,104.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
2,75.45,"Month-to-month","Mailed check","Fiber optic","Yes"
2,54.85,"Month-to-month","Mailed check","DSL","Yes"
71,19.9,"Two year","Bank transfer (automatic)","No","No"
1,19.4,"Month-to-month","Mailed check","No","No"
68,25.05,"Two year","Credit card (automatic)","No","No"
72,84.45,"Two year","Mailed check","DSL","No"
2,19.3,"Month-to-month","Mailed check","No","No"
1,95.1,"Month-to-month","Electronic check","Fiber optic","Yes"
41,79.85,"One year","Bank transfer (automatic)","DSL","No"
72,25.55,"Two year","Credit card (automatic)","No","No"
6,75.5,"Month-to-month","Electronic check","Fiber optic","Yes"
4,73.75,"Month-to-month","Electronic check","Fiber optic","Yes"
12,96.05,"Month-to-month","Electronic check","Fiber optic","Yes"
58,68.4,"One year","Electronic check","DSL","No"
7,20.65,"Month-to-month","Mailed check","No","No"
65,55.15,"Month-to-month","Mailed check","DSL","No"
1,70.6,"Month-to-month","Mailed check","Fiber optic","No"
56,19.95,"One year","Credit card (automatic)","No","No"
4,19,"Month-to-month","Mailed check","No","No"
58,44.1,"One year","Mailed check","DSL","No"
62,107.6,"Two year","Bank transfer (automatic)","Fiber optic","No"
26,61.55,"One year","Electronic check","DSL","No"
62,90.7,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
58,99.25,"One year","Credit card (automatic)","Fiber optic","No"
68,91.7,"Two year","Electronic check","DSL","No"
61,100.7,"One year","Credit card (automatic)","Fiber optic","No"
42,78.45,"Two year","Credit card (automatic)","DSL","No"
18,84.3,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
56,19.55,"Two year","Bank transfer (automatic)","No","No"
4,88.95,"Month-to-month","Electronic check","Fiber optic","Yes"
4,20.45,"Month-to-month","Credit card (automatic)","No","No"
35,55.6,"One year","Credit card (automatic)","DSL","No"
64,86.8,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
31,20.95,"One year","Mailed check","No","No"
67,20.05,"Two year","Bank transfer (automatic)","No","No"
4,50.7,"Month-to-month","Credit card (automatic)","DSL","Yes"
70,113.65,"Two year","Electronic check","Fiber optic","No"
3,53.4,"Month-to-month","Credit card (automatic)","DSL","Yes"
53,101.9,"Month-to-month","Electronic check","Fiber optic","Yes"
2,59.5,"Two year","Mailed check","DSL","No"
29,87.8,"Month-to-month","Credit card (automatic)","Fiber optic","No"
47,41.9,"Two year","Mailed check","DSL","No"
68,83,"One year","Electronic check","Fiber optic","Yes"
12,69.85,"Month-to-month","Mailed check","DSL","No"
8,56.3,"Month-to-month","Bank transfer (automatic)","DSL","No"
54,109.55,"Month-to-month","Electronic check","Fiber optic","No"
69,92.15,"Two year","Mailed check","Fiber optic","No"
26,69.5,"Month-to-month","Bank transfer (automatic)","DSL","No"
72,97,"Two year","Bank transfer (automatic)","Fiber optic","No"
70,58.35,"Two year","Bank transfer (automatic)","DSL","No"
1,50.6,"Month-to-month","Mailed check","DSL","Yes"
10,89.5,"Month-to-month","Electronic check","Fiber optic","Yes"
28,70.4,"One year","Bank transfer (automatic)","Fiber optic","No"
1,69.8,"Month-to-month","Electronic check","Fiber optic","Yes"
21,94.3,"Month-to-month","Electronic check","Fiber optic","No"
51,93.8,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
53,19.55,"One year","Bank transfer (automatic)","No","No"
53,95.95,"One year","Electronic check","Fiber optic","No"
24,101.05,"Month-to-month","Electronic check","Fiber optic","Yes"
70,94.8,"Two year","Credit card (automatic)","DSL","No"
61,107.75,"One year","Electronic check","Fiber optic","No"
11,54.6,"One year","Mailed check","DSL","No"
2,71.3,"Month-to-month","Credit card (automatic)","Fiber optic","No"
25,19.5,"One year","Bank transfer (automatic)","No","No"
41,56.3,"One year","Credit card (automatic)","DSL","No"
18,94.7,"Month-to-month","Electronic check","Fiber optic","Yes"
72,104.15,"Two year","Bank transfer (automatic)","Fiber optic","Yes"
71,90.55,"Two year","Credit card (automatic)","DSL","No"
34,60.8,"One year","Mailed check","DSL","No"
29,98.8,"Month-to-month","Credit card (automatic)","Fiber optic","No"
40,98.15,"One year","Credit card (automatic)","Fiber optic","No"
36,35.35,"One year","Mailed check","DSL","No"
46,103.15,"One year","Electronic check","Fiber optic","No"
58,107.75,"One year","Electronic check","Fiber optic","No"
39,81.4,"One year","Credit card (automatic)","Fiber optic","No"
4,61.45,"Month-to-month","Credit card (automatic)","DSL","Yes"
52,95.7,"One year","Credit card (automatic)","Fiber optic","No"
70,104.8,"One year","Electronic check","Fiber optic","No"
65,70.95,"One year","Bank transfer (automatic)","Fiber optic","No"
1,44.95,"Month-to-month","Mailed check","DSL","No"
70,97.65,"One year","Electronic check","Fiber optic","No"
29,35.65,"Month-to-month","Mailed check","DSL","No"
1,90.55,"Month-to-month","Electronic check","Fiber optic","Yes"
67,85.25,"Two year","Mailed check","DSL","No"
1,19.5,"Month-to-month","Mailed check","No","No"
26,88.8,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
30,25.1,"Two year","Mailed check","No","No"
48,100.05,"Month-to-month","Credit card (automatic)","Fiber optic","No"
55,55.7,"Month-to-month","Electronic check","DSL","No"
7,85.2,"Month-to-month","Mailed check","Fiber optic","Yes"
37,91.15,"Month-to-month","Electronic check","Fiber optic","No"
31,83.85,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
4,45.9,"Month-to-month","Electronic check","DSL","No"
72,25.1,"Two year","Credit card (automatic)","No","No"
5,91.4,"Month-to-month","Electronic check","Fiber optic","Yes"
1,19.7,"Month-to-month","Mailed check","No","No"
15,91.5,"Month-to-month","Electronic check","Fiber optic","No"
8,51.3,"Month-to-month","Credit card (automatic)","DSL","No"
35,21.1,"One year","Mailed check","No","No"
56,104.75,"Month-to-month","Electronic check","Fiber optic","No"
42,106.15,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
65,85.75,"Month-to-month","Electronic check","Fiber optic","No"
2,20.3,"One year","Mailed check","No","No"
65,100.75,"One year","Electronic check","Fiber optic","No"
18,74.15,"Month-to-month","Electronic check","Fiber optic","No"
23,78.55,"One year","Electronic check","DSL","No"
4,45.3,"Month-to-month","Mailed check","DSL","Yes"
70,19.85,"Two year","Credit card (automatic)","No","No"
4,50.7,"Month-to-month","Electronic check","DSL","No"
19,45,"Month-to-month","Bank transfer (automatic)","DSL","No"
18,77.8,"Month-to-month","Electronic check","Fiber optic","No"
38,83.45,"Month-to-month","Electronic check","Fiber optic","No"
2,73.25,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
47,94.8,"One year","Bank transfer (automatic)","Fiber optic","No"
52,20.1,"Two year","Bank transfer (automatic)","No","No"
9,59.9,"Month-to-month","Mailed check","DSL","No"
26,90.1,"One year","Credit card (automatic)","DSL","No"
8,51.05,"Month-to-month","Electronic check","DSL","Yes"
44,70.95,"One year","Electronic check","DSL","No"
3,29.2,"Month-to-month","Mailed check","DSL","No"
2,46.6,"Month-to-month","Bank transfer (automatic)","DSL","No"
9,85.35,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
1,75.35,"Month-to-month","Electronic check","Fiber optic","Yes"
25,74.3,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
2,69.3,"Month-to-month","Electronic check","Fiber optic","No"
43,75.2,"Month-to-month","Electronic check","Fiber optic","Yes"
1,20.9,"Month-to-month","Mailed check","No","Yes"
58,94.3,"One year","Electronic check","Fiber optic","No"
59,76.45,"Two year","Mailed check","DSL","No"
44,54,"One year","Electronic check","DSL","No"
66,104.25,"One year","Electronic check","Fiber optic","No"
68,19.95,"Two year","Bank transfer (automatic)","No","No"
9,24.95,"Month-to-month","Electronic check","DSL","No"
19,84.75,"Month-to-month","Electronic check","Fiber optic","No"
4,19.75,"Month-to-month","Mailed check","No","No"
70,113.65,"Two year","Bank transfer (automatic)","Fiber optic","No"
1,44.9,"Month-to-month","Mailed check","DSL","No"
8,75.25,"Month-to-month","Electronic check","Fiber optic","No"
53,24.6,"Two year","Mailed check","No","No"
51,25,"One year","Bank transfer (automatic)","No","No"
11,20.95,"Month-to-month","Bank transfer (automatic)","No","No"
60,110.6,"Two year","Electronic check","Fiber optic","No"
17,55.5,"Month-to-month","Credit card (automatic)","DSL","No"
3,43.3,"Month-to-month","Electronic check","DSL","Yes"
70,109.5,"One year","Bank transfer (automatic)","Fiber optic","Yes"
1,19.45,"Month-to-month","Mailed check","No","No"
43,84.85,"Month-to-month","Electronic check","Fiber optic","No"
16,19.6,"Month-to-month","Mailed check","No","No"
57,53.45,"One year","Electronic check","DSL","No"
37,19.8,"One year","Credit card (automatic)","No","No"
72,112.1,"Two year","Credit card (automatic)","Fiber optic","No"
11,84.8,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
50,95.05,"Month-to-month","Electronic check","Fiber optic","Yes"
5,50.35,"Month-to-month","Electronic check","DSL","Yes"
1,74.6,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
16,19.7,"Month-to-month","Mailed check","No","Yes"
2,74.2,"Month-to-month","Electronic check","Fiber optic","No"
17,69,"Month-to-month","Mailed check","DSL","No"
16,19.35,"One year","Credit card (automatic)","No","No"
15,59.45,"Month-to-month","Electronic check","DSL","Yes"
10,19.8,"One year","Mailed check","No","No"
46,105.2,"One year","Bank transfer (automatic)","Fiber optic","Yes"
64,109.2,"Two year","Credit card (automatic)","Fiber optic","No"
1,79.15,"Month-to-month","Mailed check","Fiber optic","No"
25,53.65,"One year","Mailed check","DSL","No"
71,100.2,"Two year","Credit card (automatic)","Fiber optic","No"
8,45.15,"Month-to-month","Mailed check","DSL","Yes"
72,108.65,"Two year","Bank transfer (automatic)","Fiber optic","No"
49,40.65,"Month-to-month","Bank transfer (automatic)","DSL","No"
29,55.35,"One year","Credit card (automatic)","DSL","No"
72,105.6,"Two year","Bank transfer (automatic)","Fiber optic","No"
31,93.8,"Month-to-month","Electronic check","Fiber optic","Yes"
50,95.7,"Month-to-month","Electronic check","Fiber optic","No"
71,83.2,"Two year","Electronic check","DSL","No"
70,90.05,"Two year","Credit card (automatic)","DSL","No"
71,97.65,"One year","Credit card (automatic)","Fiber optic","No"
61,68.05,"Two year","Bank transfer (automatic)","DSL","No"
32,96.2,"Month-to-month","Electronic check","Fiber optic","Yes"
1,79.6,"Month-to-month","Electronic check","Fiber optic","Yes"
68,102.1,"Two year","Bank transfer (automatic)","Fiber optic","No"
62,23.4,"Two year","Bank transfer (automatic)","No","No"
7,71.05,"Month-to-month","Electronic check","Fiber optic","No"
20,85.25,"Month-to-month","Electronic check","Fiber optic","Yes"
6,19.45,"One year","Mailed check","No","No"
33,59.45,"Month-to-month","Bank transfer (automatic)","DSL","No"
28,92.2,"One year","Bank transfer (automatic)","Fiber optic","No"
27,19.85,"Two year","Credit card (automatic)","No","No"
7,43.9,"Month-to-month","Mailed check","DSL","No"
26,80.5,"Month-to-month","Electronic check","Fiber optic","Yes"
5,89.8,"Month-to-month","Electronic check","Fiber optic","Yes"
30,90.5,"Month-to-month","Credit card (automatic)","Fiber optic","No"
63,90.45,"One year","Credit card (automatic)","Fiber optic","No"
1,50.75,"Month-to-month","Electronic check","DSL","Yes"
53,84.6,"One year","Electronic check","DSL","No"
14,89.65,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
21,99.15,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
17,19.95,"One year","Mailed check","No","No"
16,20.5,"Two year","Mailed check","No","No"
35,62.1,"Month-to-month","Electronic check","DSL","No"
32,79.5,"Month-to-month","Electronic check","Fiber optic","No"
28,19.55,"Month-to-month","Bank transfer (automatic)","No","No"
1,20.35,"Month-to-month","Mailed check","No","No"
59,51.7,"Month-to-month","Electronic check","DSL","No"
72,23.3,"One year","Bank transfer (automatic)","No","No"
36,65.4,"One year","Mailed check","DSL","Yes"
40,65.1,"Month-to-month","Mailed check","DSL","No"
40,81.2,"Month-to-month","Electronic check","Fiber optic","No"
9,72.9,"Month-to-month","Mailed check","DSL","Yes"
63,74.5,"Two year","Credit card (automatic)","DSL","No"
3,80.5,"Month-to-month","Electronic check","Fiber optic","No"
40,60.3,"One year","Mailed check","DSL","No"
8,75,"Month-to-month","Mailed check","Fiber optic","No"
34,90.15,"One year","Mailed check","Fiber optic","No"
5,40,"Month-to-month","Mailed check","DSL","Yes"
9,99.45,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
9,69.05,"Month-to-month","Credit card (automatic)","DSL","No"
31,59.7,"Month-to-month","Bank transfer (automatic)","DSL","No"
50,19.85,"One year","Bank transfer (automatic)","No","No"
2,86.25,"Month-to-month","Electronic check","Fiber optic","Yes"
1,45.65,"Month-to-month","Electronic check","DSL","Yes"
8,70.1,"Month-to-month","Mailed check","Fiber optic","Yes"
9,40.75,"Month-to-month","Electronic check","DSL","No"
2,70.2,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
3,55.35,"Month-to-month","Electronic check","DSL","Yes"
25,95.7,"Month-to-month","Credit card (automatic)","Fiber optic","No"
1,46.3,"Month-to-month","Electronic check","DSL","No"
45,81.3,"Month-to-month","Mailed check","DSL","No"
51,84.2,"Month-to-month","Electronic check","Fiber optic","Yes"
55,20,"Month-to-month","Credit card (automatic)","No","No"
38,66.15,"Month-to-month","Bank transfer (automatic)","DSL","No"
2,45.85,"Month-to-month","Mailed check","DSL","Yes"
38,19.6,"Month-to-month","Electronic check","No","No"
34,49.8,"Month-to-month","Electronic check","DSL","No"
70,101.75,"One year","Electronic check","Fiber optic","No"
13,55.15,"One year","Mailed check","DSL","No"
39,75.25,"Month-to-month","Electronic check","Fiber optic","Yes"
61,103.95,"One year","Electronic check","Fiber optic","No"
12,100.15,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
